date,crude_oil_avg,coal_australia,natural_gas_us,fertiliser_urea,phosphate_rock
2003-11-02,30.063205442173714,35.19428571428571,5.525250428571429,134.27714285714285,44.0
2003-11-09,30.16075374149343,35.69857142857143,5.514038857142857,134.2942857142857,44.0
2003-11-16,30.258302040813142,36.20285714285714,5.502827285714286,134.31142857142856,44.0
2003-11-23,30.355850340132857,36.707142857142856,5.4916157142857145,134.32857142857142,44.0
2003-11-30,30.453398639452573,37.21142857142857,5.480404142857143,134.34571428571428,44.0
2003-12-07,30.550946938772288,37.715714285714284,5.469192571428572,134.36285714285714,44.0
2003-12-14,30.648495238092,38.22,5.457981,134.38,44.0
2003-12-21,30.746043537411715,38.72428571428571,5.446769428571429,134.39714285714285,44.0
2003-12-28,30.84359183673143,39.22857142857143,5.435557857142857,134.4142857142857,44.0
2004-01-04,30.941140136051143,39.73285714285714,5.424346285714286,134.43142857142857,44.0
2004-01-11,31.038688435370858,40.23714285714286,5.4131347142857145,134.44857142857143,44.0
2004-01-18,31.136236734690574,40.74142857142857,5.401923142857143,134.46571428571428,44.0
2004-01-25,31.233785034010285,41.245714285714286,5.390711571428572,134.48285714285714,44.0
2004-02-01,31.33133333333,41.75,5.3795,134.5,44.0
2004-02-08,31.744900099896924,42.42307692307692,5.380122377622308,136.87307692307692,44.0
2004-02-15,32.15846686646385,43.09615384615385,5.380744755244615,139.24615384615385,44.0
2004-02-22,32.57203363303077,43.76923076923077,5.381367132866923,141.61923076923077,44.0
2004-02-29,32.98560039959769,44.44230769230769,5.381989510489231,143.9923076923077,44.0
2004-03-07,33.39916716616462,45.11538461538461,5.382611888111539,146.3653846153846,44.0
2004-03-14,33.81273393273154,45.78846153846154,5.383234265733846,148.73846153846154,44.0
2004-03-21,34.22630069929846,46.46153846153846,5.383856643356154,151.11153846153846,44.0
2004-03-28,34.639867465865386,47.13461538461539,5.384479020978461,153.48461538461538,44.0
2004-04-04,35.05343423243231,47.80769230769231,5.385101398600769,155.8576923076923,44.0
2004-04-11,35.46700099899923,48.48076923076923,5.385723776223077,158.23076923076923,44.0
2004-04-18,35.880567765566155,49.15384615384615,5.386346153845385,160.60384615384615,44.0
2004-04-25,36.29413453213308,49.82692307692308,5.3869685314676925,162.97692307692307,44.0
2004-05-02,36.7077012987,50.5,5.38759090909,165.35,44.0
2004-05-09,37.121268065266925,51.17307692307693,5.388213286712308,167.72307692307692,44.0
2004-05-16,37.53483483183385,51.84615384615385,5.388835664334615,170.09615384615384,44.0
2004-05-23,37.94840159840077,52.519230769230774,5.389458041956923,172.46923076923076,44.0
2004-05-30,38.361968364967694,53.19230769230769,5.390080419579231,174.84230769230768,44.0
2004-06-06,38.77553513153462,53.86538461538461,5.390702797201539,177.2153846153846,44.0
2004-06-13,39.18910189810154,54.53846153846154,5.391325174823846,179.58846153846153,44.0
2004-06-20,39.602668664668464,55.21153846153846,5.391947552446154,181.96153846153845,44.0
2004-06-27,40.01623543123539,55.88461538461539,5.392569930068461,184.33461538461538,44.0
2004-07-04,40.42980219780231,56.55769230769231,5.393192307690769,186.7076923076923,44.0
2004-07-11,40.84336896436923,57.23076923076923,5.393814685313077,189.08076923076922,44.0
2004-07-18,41.256935730936156,57.90384615384615,5.394437062935385,191.45384615384614,44.0
2004-07-25,41.67050249750308,58.57692307692308,5.395059440557692,193.82692307692307,44.0
2004-08-01,42.08406926407,59.25,5.39568181818,196.2,44.0
2004-08-08,42.231312946313594,59.04647435897436,5.423210955709231,197.73333333333332,44.0
2004-08-15,42.378556628557185,58.842948717948715,5.450740093238461,199.26666666666665,44.0
2004-08-22,42.52580031080077,58.63942307692308,5.478269230767692,200.79999999999998,44.0
2004-08-29,42.67304399304436,58.43589743589744,5.505798368296923,202.33333333333331,44.0
2004-09-05,42.82028767528795,58.232371794871796,5.533327505826154,203.86666666666665,44.0
2004-09-12,42.96753135753154,58.02884615384615,5.560856643355384,205.39999999999998,44.0
